feature_a,feature_b,abs_corr
stated_time_in_business,vintage_years,0.9950503819688423
bank_feed_support_index,revenue_scale_index,0.9896765823936907
log_requested_amount,requested_amount,0.9871229769241954
debt_to_requested_amount,repayment_burden_index,0.9785608731972547
application_month,application_weekofyear,0.9740570063153687
invoice_payment_delinquency_rate,utilization_x_delinquency,0.9552989486095155
cash_balance_to_requested_amount,observed_cash_balance_p10,0.9489044601543146
prior_loans_amount_total,prior_loans_count,0.9403846540377387
existing_debt_obligations,log_existing_debt,0.9366377013976092
maturity_index,vintage_years,0.9326848675186866
maturity_index,stated_time_in_business,0.932420059623094
requested_amount_to_observed_revenue,requested_to_stated_annual_revenue,0.9267299963329855
cash_stress_index,signed_log_cash_balance_p10,0.9258008216548893
cash_x_payroll_regularity,signed_log_cash_balance_p10,0.9236513720943321
debt_to_stated_annual_revenue,repayment_burden_index,0.9156213115804344
cash_stress_index,credit_x_cash_stress,0.9138176316861337
requested_amount_to_observed_revenue,utilization_x_repayment_burden,0.9106766158182107
log_stated_annual_revenue,stated_annual_revenue,0.9091742235747763
account_age_days,log_account_age_days,0.9079595596102108
log_observed_monthly_revenue,observed_monthly_revenue_avg_3mo,0.9028771486224286
cash_stress_index,cash_x_payroll_regularity,0.8982238143309406
log_account_age_days,maturity_index,0.8868519007906539
account_age_days,maturity_index,0.885132465041557
debt_to_requested_amount,existing_debt_obligations,0.874184181101704
account_age_days,vintage_years,0.8732812017185128
account_age_days,stated_time_in_business,0.8690193042977125
debt_to_requested_amount,debt_to_stated_annual_revenue,0.8689022963201569
log_stated_annual_revenue,requested_to_stated_annual_revenue,0.8636104045150734
existing_debt_obligations,repayment_burden_index,0.862427897333415
cash_stress_index,observed_cash_balance_p10,0.8621574867033467
cash_balance_to_observed_monthly_revenue,cash_balance_to_requested_amount,0.858562827817963
aggregate_credit_utilization,credit_stress_index,0.8582749027694436
cash_balance_to_observed_monthly_revenue,observed_cash_balance_p10,0.838705735030838
log_observed_monthly_revenue,requested_to_observed_annual_revenue,0.8375731550636542
bank_feed_x_repayment_burden,bank_feed_x_utilization,0.8322905837492995
maturity_x_repayment_burden,repayment_burden_index,0.8242550005221447
cash_x_payroll_regularity,observed_cash_balance_p10,0.819571100561294
debt_to_requested_amount,log_existing_debt,0.8195171517705759
debt_to_requested_amount,maturity_x_repayment_burden,0.8177736671079371
credit_x_cash_stress,signed_log_cash_balance_p10,0.8172884935171132
aggregate_credit_utilization,utilization_x_delinquency,0.8167849342271478
log_existing_debt,repayment_burden_index,0.8142538912387937
requested_to_stated_annual_revenue,utilization_x_repayment_burden,0.8113905185239996
requested_amount_to_observed_revenue,requested_to_observed_annual_revenue,0.7957379888165542
observed_cash_balance_p10,signed_log_cash_balance_p10,0.7934359174162561
debt_to_observed_monthly_revenue,requested_to_observed_annual_revenue,0.7918681441536582
debt_to_stated_annual_revenue,requested_to_stated_annual_revenue,0.7908980476529208
cash_balance_to_requested_amount,cash_stress_index,0.7792282138453149
aggregate_credit_utilization,utilization_x_repayment_burden,0.7774309831613975
platform_active_months,platform_engagement_index,0.7736498521776485
credit_x_cash_stress,observed_cash_balance_p10,0.771133882779861
bank_feed_support_index,bank_feed_x_utilization,0.7670150854902215
log_stated_annual_revenue,requested_amount_to_observed_revenue,0.7617495755737909
cash_x_payroll_regularity,credit_x_cash_stress,0.7604837114645797
bank_feed_x_repayment_burden,requested_to_observed_annual_revenue,0.7580565185037362
log_account_age_days,vintage_years,0.7557598521049799
debt_to_stated_annual_revenue,existing_debt_obligations,0.7535405073320129
log_account_age_days,stated_time_in_business,0.7519165331026973
debt_to_observed_monthly_revenue,repayment_burden_index,0.7495747104491857
credit_x_cash_stress,utilization_x_delinquency,0.7474737463186673
log_observed_monthly_revenue,log_stated_annual_revenue,0.7439211045919679
bank_feed_support_index,bank_feed_x_repayment_burden,0.7434720249345075
cash_balance_to_observed_monthly_revenue,cash_stress_index,0.7423837564370511
debt_to_stated_annual_revenue,requested_amount_to_observed_revenue,0.738390617235462
bank_feed_x_utilization,revenue_scale_index,0.7368980915187261
cash_balance_to_requested_amount,cash_x_payroll_regularity,0.7367415987513227
credit_x_cash_stress,invoice_payment_delinquency_rate,0.734592547031649
debt_to_stated_annual_revenue,maturity_x_repayment_burden,0.7332548296721854
aggregate_credit_utilization,invoice_payment_delinquency_rate,0.7277189779008525
requested_to_observed_annual_revenue,utilization_x_repayment_burden,0.7257637551294313
debt_to_observed_monthly_revenue,debt_to_stated_annual_revenue,0.7240894749464972
cash_stress_index,invoice_payment_delinquency_rate,0.7224990978590983
observed_monthly_revenue_avg_3mo,stated_annual_revenue,0.7168977416317248
observed_revenue_volatility,volatility_x_repayment_burden,0.7119471116917813
log_stated_annual_revenue,repayment_burden_index,0.7065080422327331
cash_balance_to_observed_monthly_revenue,credit_x_cash_stress,0.7045482743355436
credit_stress_index,utilization_x_delinquency,0.7019501784902669
requested_to_observed_annual_revenue,volatility_x_repayment_burden,0.7019380730558427
existing_debt_obligations,maturity_x_repayment_burden,0.7017673112172463
requested_to_stated_annual_revenue,stated_annual_revenue,0.7000117904860536
debt_to_stated_annual_revenue,log_stated_annual_revenue,0.6985966150994508
cash_balance_to_requested_amount,signed_log_cash_balance_p10,0.697052891216654
debt_to_observed_monthly_revenue,log_observed_monthly_revenue,0.694527077275862
invoice_payment_delinquency_rate,observed_cash_balance_p10,0.6910008322544737
cash_balance_to_observed_monthly_revenue,signed_log_cash_balance_p10,0.6900195539228917
debt_to_stated_annual_revenue,utilization_x_repayment_burden,0.6863897332276441
log_stated_annual_revenue,requested_amount,0.6851267113508447
log_observed_monthly_revenue,requested_amount_to_observed_revenue,0.6848037214127328
repayment_burden_index,requested_to_stated_annual_revenue,0.6835948518623094
requested_to_observed_annual_revenue,requested_to_stated_annual_revenue,0.6789626911921566
log_requested_amount,log_stated_annual_revenue,0.6782449314530565
aggregate_credit_utilization,credit_x_cash_stress,0.6775491232467781
credit_stress_index,credit_x_cash_stress,0.6753330719901541
utilization_x_delinquency,utilization_x_repayment_burden,0.6732411403361294
log_observed_monthly_revenue,stated_annual_revenue,0.6719650097361795
log_stated_annual_revenue,observed_monthly_revenue_avg_3mo,0.6699517922430063
debt_to_observed_monthly_revenue,debt_to_requested_amount,0.668641540592903
cash_balance_to_requested_amount,credit_x_cash_stress,0.6676638904689293
repayment_burden_index,requested_amount_to_observed_revenue,0.6674258579278968
debt_to_stated_annual_revenue,log_existing_debt,0.666840743472306
bank_feed_x_repayment_burden,revenue_scale_index,0.6664712148851419
log_existing_debt,maturity_x_repayment_burden,0.6654190614443759
cash_stress_index,utilization_x_delinquency,0.6639380860212561
log_observed_monthly_revenue,requested_to_stated_annual_revenue,0.6637172252410731
bank_feed_x_utilization,signed_log_cash_balance_p10,0.6615997570523495
credit_stress_index,utilization_x_repayment_burden,0.6574925115489706
aggregate_credit_utilization,log_existing_debt,0.6538055356904028
bank_feed_x_repayment_burden,debt_to_observed_monthly_revenue,0.6524624019341867
observed_monthly_revenue_avg_3mo,requested_to_observed_annual_revenue,0.645946853848038
existing_debt_obligations,utilization_x_repayment_burden,0.6322433590453284
invoice_payment_delinquency_rate,requested_amount,0.6296969611201207
cash_balance_to_observed_monthly_revenue,cash_x_payroll_regularity,0.6296231323129629
credit_stress_index,invoice_payment_delinquency_rate,0.6287815829469495
cash_balance_to_requested_amount,invoice_payment_delinquency_rate,0.6284122119607908
requested_amount,stated_annual_revenue,0.626758429876237
debt_to_requested_amount,log_stated_annual_revenue,0.6228705609352939
requested_amount_to_observed_revenue,stated_annual_revenue,0.6228631642506223
log_existing_debt,utilization_x_repayment_burden,0.6195877583766767
debt_to_observed_monthly_revenue,requested_amount_to_observed_revenue,0.6179409199715701
repayment_burden_index,utilization_x_repayment_burden,0.6171772946650927
aggregate_credit_utilization,cash_stress_index,0.6168925512724055
debt_to_observed_monthly_revenue,maturity_x_repayment_burden,0.6124494785847926
invoice_payment_delinquency_rate,log_requested_amount,0.6096275305957767
aggregate_credit_utilization,existing_debt_obligations,0.6080139995042799
observed_cash_balance_p10,utilization_x_delinquency,0.6027113821741149
log_observed_monthly_revenue,repayment_burden_index,0.6013322955727837
